,Month,TotalConsumption (kWh),Energy Cost ($)
0,January,986.846186789,913.999822789
1,February,818.21543908,725.5947080799999
2,March,683.214995019,543.4058780189999
3,April,722.93836767,572.56730467
4,May,693.011184555,520.565502555
5,June,1413.1787612990001,1239.512983299
6,July,1623.001507,1452.938351
7,August,1433.3472459999998,1264.339451
8,September,889.139643038,740.475316038
9,October,540.946481684,409.53255068399994
10,November,702.772787806,606.9788558060001
11,December,974.7219911760001,898.822659176
