,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Jan Hourly Avg,22452.5,21520.583333333332,20856.416666666668,20448.25,20368.333333333332,20746.25,21452.916666666668,21516.75,21369.416666666668,20784.0,20024.333333333332,19645.583333333332,19386.0,19548.333333333332,19872.083333333332,20561.833333333332,22180.333333333332,25611.0,26866.083333333332,26757.75,26254.166666666668,25388.666666666668,24109.5,22620.416666666668
Feb Hourly Avg,20711.0,19864.5,19378.0,19260.25,19748.0,21120.333333333332,23483.166666666668,25064.75,25253.25,25019.75,24637.75,24167.75,23834.666666666668,23699.833333333332,23756.0,23938.0,24759.75,26575.583333333332,27321.583333333332,26913.0,26200.916666666668,25149.083333333332,23623.5,22043.75
Mar Hourly Avg,20956.416666666668,20171.0,19724.833333333332,19594.666666666668,20019.583333333332,21408.333333333332,23369.833333333332,24454.583333333332,24053.083333333332,23493.833333333332,23042.75,22590.75,22300.0,22363.166666666668,22523.166666666668,22855.083333333332,23563.25,24756.166666666668,26715.25,26831.75,26190.833333333332,25138.416666666668,23744.5,22229.916666666668
Apr Hourly Avg,20381.416666666668,19607.583333333332,19226.0,19137.416666666668,19640.75,21042.75,23237.666666666668,24479.25,24554.833333333332,24331.166666666668,24102.0,23955.583333333332,23905.5,24279.666666666668,24725.583333333332,25238.75,25834.75,26423.083333333332,26868.916666666668,28065.5,28272.75,26891.416666666668,24766.666666666668,22836.0
May Hourly Avg,21530.416666666668,20680.583333333332,20167.583333333332,20000.5,20489.5,21789.0,23379.75,24405.916666666668,24274.333333333332,23795.75,23292.916666666668,22885.25,22605.416666666668,22725.083333333332,23134.916666666668,23477.166666666668,24220.0,25080.666666666668,25816.666666666668,26706.583333333332,27462.166666666668,26508.333333333332,24578.083333333332,22761.916666666668
Jun Hourly Avg,22456.416666666668,21308.583333333332,20477.083333333332,20027.75,19992.083333333332,20203.75,20317.416666666668,20798.083333333332,21284.666666666668,21360.75,21279.666666666668,21188.583333333332,21250.666666666668,21624.583333333332,22296.916666666668,23276.25,24395.833333333332,25482.75,26334.75,26688.166666666668,26950.5,26415.583333333332,25014.75,23318.083333333332
Jul Hourly Avg,23529.583333333332,22273.416666666668,21480.583333333332,21097.166666666668,21406.25,22433.416666666668,23637.75,24964.583333333332,25672.75,26233.0,26770.333333333332,27241.25,27797.916666666668,28857.916666666668,30114.166666666668,31570.25,32803.083333333336,33641.0,33889.5,33322.083333333336,32647.5,31526.75,29083.333333333332,26563.666666666668
Aug Hourly Avg,26980.833333333332,25433.0,24357.666666666668,23754.0,23917.833333333332,24943.5,26189.083333333332,27348.166666666668,27999.5,28508.333333333332,29242.083333333332,30160.25,31326.083333333332,32907.25,34603.083333333336,36244.666666666664,37497.5,38179.25,38037.666666666664,37126.25,36483.083333333336,34793.0,31952.666666666668,29211.916666666668
Sep Hourly Avg,27822.333333333332,26190.083333333332,24907.5,23993.583333333332,23460.75,23381.416666666668,23307.416666666668,23584.25,24401.083333333332,25473.083333333332,27058.166666666668,29045.666666666668,31280.166666666668,33546.083333333336,35763.583333333336,37801.5,39249.666666666664,40024.166666666664,39885.083333333336,39176.75,37944.333333333336,36020.25,33049.083333333336,29930.333333333332
Oct Hourly Avg,21980.5,21018.5,20432.333333333332,20057.833333333332,20113.25,20615.083333333332,21459.333333333332,21801.5,21642.666666666668,21425.25,21292.416666666668,21229.75,21423.0,22130.333333333332,23123.416666666668,24407.916666666668,25694.0,26877.166666666668,27670.75,28168.5,27280.333333333332,26085.916666666668,24610.916666666668,23121.083333333332
Nov Hourly Avg,21547.416666666668,20747.333333333332,20245.666666666668,20074.0,20537.75,21939.5,24390.416666666668,25844.083333333332,25219.083333333332,24006.166666666668,23123.75,22518.583333333332,22300.416666666668,22703.0,23357.0,24129.833333333332,25103.416666666668,26057.75,27468.0,27504.666666666668,26718.75,25632.333333333332,24102.666666666668,22519.083333333332
