,HP_WH (kwh),HP_SH (kwh),HP_WH_ENG (kg),HP_SH_ENG (kg)
"('0',)",,,,
"('1',)",140.71727800000005,248.03635314399972,21.01153895051195,37.03614488071668
"('2',)",157.07192799999987,189.18259138899995,23.45357286689418,28.248253833681733
"('3',)",127.06225100000006,195.32187768799963,18.972605738054614,29.16495613941974
"('4',)",122.08918500000004,130.25801154599995,18.230040422354957,19.449788413438558
"('5',)",88.64450099999995,78.71421884599995,13.236166958191118,11.753402984684293
"('6',)",96.55143200000002,35.95370167900002,14.416809385665532,5.3685134759599
"('7',)",86.57887600000001,28.618739690000023,12.927733191126281,4.273275977602393
"('8',)",110.61835599999996,28.853313149999998,16.517245989761086,4.308301878199658
"('9',)",82.55550900000001,41.37493124499998,12.32697446672355,6.1779974128626245
"('10',)",109.99589400000008,74.66904022799997,16.424301578498305,11.149387406058015
"('11',)",124.60267999999996,193.81247131400013,18.60534897610921,28.939575494837904
"('12',)",178.7081740000001,240.00318813399977,26.68424099829353,35.836653518302015
